cut,calorie_per_meat_gram,protein,calorie_per_gram,fats,calorie_per_gram,carbs,calorie_per_gram
Salmon,2.17,0.23,4,0.04,9,0,4
Tuna,1.74,0.21,4,0.08,9,0,4
Whitefish,1.57,0.24,4,0.08,9,0,4
