cut,calorie_per_meat_gram,protein,calorie_per_gram,fats,calorie_per_gram,carbs,calorie_per_gram
Breast,1.65,0.31,4,0.04,9,0,4
Thigh,1.43,0.28,4,0.08,9,0,4
Drumstick,1.57,0.24,4,0.08,9,0,4
wing,1.69,0.2,4,0.07,9,0,4
