cut,calorie_per_meat_gram,protein,calorie_per_gram,fats,calorie_per_gram,carbs,calorie_per_gram
Steak,1.17,0.23,4,0.04,9,0,4
Rump,1.74,0.21,4,0.08,9,0,4
leg,1.57,0.24,4,0.08,9,0,4
Shoulder,1.69,0.2,4,0.07,9,0,4
